,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-SA_1.13-0-1
Units,inps2,inps2,inps2,inps2,inps2,inps2,inps2,inps2,inps2,inps2,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
0,148.7907756,155.9391197,399.0218393,137.3747618,102.6145338,276.9838713,195.083478,321.8129248,237.876229,299.7548048,0.027729369,0.043700019,0.039745358,0.101427966,0.019029302,0.051839383,0.00301715,0.01187447,0.842998257
1,337.3459609,127.1650224,163.4499163,176.7504961,211.0935836,231.7500762,110.5039006,179.4065136,165.9809428,329.1454184,0.030001113,0.037572079,0.042663004,0.036990827,0.018276972,0.016454669,0.006921441,0.012355984,0.842998257
2,252.7207345,120.0983618,256.17671,187.4944604,155.68828,339.8556661,119.4150864,199.4657155,140.4160846,223.1381203,0.007892809,0.025048272,0.037309039,0.038262873,0.024338293,0.012822136,0.006004625,0.018982905,0.842998257
3,137.9183686,215.2302904,336.6929147,120.0141493,123.0715806,186.627899,116.5205333,148.1066328,153.6417854,108.7369013,0.020752394,0.045605397,0.026677407,0.02738784,0.017537542,0.011306043,0.013691809,0.004757464,0.842998257
4,152.2969629,291.8990912,178.8327218,148.6415197,270.4114829,182.9539716,199.7254427,122.7347275,261.5745452,102.0528896,0.013079189,0.017368768,0.03622188,0.028181327,0.030146847,0.035379309,0.007300898,0.01479645,0.842998257
5,126.029421,91.92985549,206.7200184,198.7577972,69.67841296,206.7616078,168.4321171,220.4434841,119.9935613,170.3580113,0.06816391,0.008783024,0.019539501,0.051247472,0.012804131,0.017823279,0.008104658,0.005179677,0.842998257
6,305.9487533,197.5475886,219.8173442,219.5366347,158.8864712,117.9908435,186.5747779,110.4454408,114.6156318,139.7855328,0.017804872,0.02008084,0.034246456,0.025137111,0.032503354,0.013757533,0.01004949,0.002380468,0.842998257
7,106.0936162,83.90799365,95.35088944,279.4098277,139.8006136,267.3252396,133.3343436,159.8001704,277.3282124,160.3950631,0.015286543,0.015273323,0.008850012,0.054251817,0.027522757,0.020255512,0.017194509,0.004325362,0.842998257
8,187.3334909,210.4911691,250.2618767,114.8175137,245.2674164,152.552163,222.2000593,107.0704621,129.0537756,383.1686096,0.012204719,0.020762865,0.020707678,0.068829425,0.009498011,0.027277319,0.007896694,0.035828342,0.842998257
9,180.0916898,237.3722588,118.7268414,141.2329904,331.480706,251.1158813,87.9779202,242.107676,190.8004335,262.9968971,0.019580081,0.028241154,0.051351338,0.014225092,0.012306422,0.046001415,0.006368482,0.003371454,0.842998257
10,173.0422476,186.0120728,283.8946334,400.1221612,142.9955761,317.9253473,178.8753771,85.11208893,223.8755435,119.3984294,0.03930492,0.060123309,0.04113105,0.078717299,0.035874698,0.010143015,0.006735464,0.009263584,0.842998257
11,159.2227568,427.4411726,151.5941535,365.1607294,168.6786768,169.0097283,104.0221536,294.4076365,330.7143131,350.7029839,0.021341165,0.065171821,0.048614528,0.033617757,0.026796169,0.02430921,0.009769032,0.00990774,0.842998257
12,235.0030638,225.5573078,301.4453956,155.7837063,175.4586452,179.3658519,271.0933714,145.2750773,268.9848149,187.4118188,0.060401084,0.031900364,0.082372768,0.017065273,0.02549186,0.037219607,0.002394819,0.001786295,0.842998257
13,283.983316,70.61895423,79.57210642,271.2724335,172.0373971,237.7101132,246.5154069,113.6692656,211.7491191,210.0884638,0.035592485,0.019402706,0.032478786,0.024422226,0.014127916,0.01690627,0.008538563,0.007871786,0.842998257
14,220.0226804,130.5342745,215.3375878,263.8617636,162.1119478,258.7873742,96.74945393,162.8552404,143.8657652,79.02493429,0.025016216,0.016681915,0.015733059,0.01497207,0.015691283,0.04222702,0.012611405,0.015602138,0.842998257
15,162.666198,168.7518691,239.2793026,108.9636572,238.4780975,109.4649364,127.8320214,276.2175597,172.0641997,146.8800202,0.040771255,0.036303262,0.027992221,0.06251758,0.021020213,0.006157615,0.021212071,0.020708984,0.842998257
16,145.237264,193.5720085,182.6881089,210.8394984,261.0244658,162.350508,147.2103488,119.7908757,136.8262071,214.2710864,0.042396321,0.011185816,0.030112436,0.018395469,0.007961975,0.008695385,0.010991966,0.007140415,0.842998257
17,130.159158,279.2770205,159.553306,133.3739269,197.9257904,226.17854,229.2803039,103.4979533,243.1319004,180.4694581,0.023138326,0.01598495,0.024209267,0.020363343,0.016435006,0.026468665,0.012152612,0.007377646,0.842998257
18,198.7335059,244.0295465,439.1365622,298.6944661,186.2012579,84.55995907,130.587665,214.5790898,286.9204481,177.0676371,0.018401867,0.012125081,0.030869309,0.01166072,0.014533428,0.013294726,0.016031866,0.006459596,0.842998257
19,224.781015,175.4332957,194.4484575,244.7892387,178.9523678,444.7034573,210.0291642,190.8561191,358.3006865,243.6699889,0.085647579,0.029998559,0.023028269,0.021021807,0.015312754,0.030087119,0.010658451,0.011428269,0.842998257
20,470.8125916,143.4048218,224.4320242,194.9285213,310.1855635,288.1464287,190.712829,183.0618334,204.3802851,150.3190451,0.017198865,0.029103804,0.021865519,0.013437338,0.024899062,0.029074981,0.004461322,0.026885469,0.842998257
21,134.1085308,112.3548826,138.9043004,342.0038101,83.00333884,129.1997118,316.3605187,156.8061465,108.2210581,232.8444571,0.016580309,0.072094225,0.017087404,0.017734115,0.011762261,0.023659861,0.006551314,0.003629017,0.842998257
22,206.8295656,189.7322479,167.3129857,162.7868121,107.3228843,211.2635222,155.9184087,209.1782768,248.7753278,114.3887677,0.020165968,0.018049195,0.010957778,0.019052411,0.028312738,0.03119605,0.003409752,0.01763563,0.842998257
