,1-PFA-0-1,1-PFA-0-2,1-PFA-1-1,1-PFA-1-2,1-PFA-2-1,1-PFA-2-2,1-PFA-3-1,1-PFA-3-2,1-PFA-4-1,1-PFA-4-2,1-PID-1-1,1-PID-1-2,1-PID-2-1,1-PID-2-2,1-PID-3-1,1-PID-3-2,1-PID-4-1,1-PID-4-2,1-SA_1.13-0-1
Units,inps2,inps2,inps2,inps2,inps2,inps2,inps2,inps2,inps2,inps2,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,g
35,166.1108149,133.8260724,174.9924099,169.7483702,221.0167152,244.1331335,122.2565399,128.4719413,184.4090166,163.7147512,0.031675872,0.024301167,0.046335554,0.015689484,0.01114992,0.028142704,0.008318371,0.01653343,0.842998257
36,141.6197724,152.8008963,124.3627649,215.1124335,152.5089204,155.804542,107.3367445,186.8709587,228.2923657,256.0368887,0.014597843,0.032916876,0.044379488,0.025868193,0.014927507,0.007716141,0.004878016,0.005600148,0.842998257
37,319.9566591,108.0842547,269.087737,166.2674104,97.31416339,215.9779985,257.4889645,153.8645541,298.2681113,279.1174316,0.033521822,0.033984704,0.024810587,0.035799623,0.019802475,0.016006005,0.00710975,0.008130302,0.842998257
38,202.7229324,251.3393869,112.3927316,239.216198,232.2322162,142.7644507,182.6377016,204.1610346,99.88887613,198.3175063,0.030819754,0.041971888,0.035204334,0.029000946,0.017170193,0.017362062,0.005822434,0.006908773,0.842998257
39,211.0692845,123.6958764,292.2538678,310.51327,133.3068393,373.0126036,215.8315758,131.290781,312.2632779,183.9144573,0.032574555,0.03892924,0.013306289,0.044491224,0.022808214,0.014664198,0.018769691,0.002771412,0.842998257
40,76.01804524,159.0949823,276.2115875,93.13652067,281.2582685,139.455894,171.7900659,142.4652326,187.5795156,173.7000852,0.018992773,0.021450827,0.033340164,0.031650305,0.023296185,0.014213275,0.011349141,0.010622339,0.842998257
41,246.4261025,182.3971655,143.272909,257.041789,165.373154,113.8764158,75.38940413,77.86402289,181.2803771,202.1275795,0.024378485,0.022852404,0.020125957,0.019707589,0.018651035,0.064960218,0.007495406,0.013452547,0.842998257
42,121.6635014,165.4929698,190.4857051,224.1328342,149.3397657,132.6907386,138.8335867,90.7170745,200.8596563,194.6027159,0.011191852,0.010111767,0.028676786,0.022354731,0.013268386,0.019252025,0.005454135,0.014086728,0.842998257
43,111.8596906,307.5583769,171.1563301,250.7104744,433.2109089,301.4299142,136.0803808,116.7758189,254.8871306,190.9711624,0.009917271,0.00673139,0.018341765,0.026617652,0.010428021,0.011832988,0.026724359,0.004969232,0.842998257
44,99.29176983,359.7446119,311.6842577,288.4611626,206.5066008,149.3013568,100.5147878,99.66121183,85.86380775,452.8982303,0.028459444,0.083001028,0.02244542,0.029849859,0.042114082,0.018766971,0.005074772,0.012879253,0.842998257
45,194.8471252,162.2768252,129.5231415,152.237027,294.1634823,125.6070717,144.3912683,380.7144196,215.6286878,218.6134886,0.0442219,0.050133431,0.01894577,0.057894522,0.029180728,0.023038738,0.006186439,0.008963064,0.842998257
46,360.4553827,220.2374657,210.9766496,102.0536518,252.7254054,121.8835757,92.62622593,95.45796945,208.0052268,136.0862173,0.022532498,0.022146694,0.054786123,0.048690663,0.03835819,0.010747024,0.003992049,0.010255099,0.842998257
47,169.5663724,268.6616541,198.467754,233.9416709,129.9795916,190.3997411,289.1435829,65.81744124,147.2050884,153.7088464,0.037967137,0.025813393,0.031656743,0.016385254,0.013707677,0.01829116,0.007693814,0.023092919,0.842998257
48,259.503163,140.2472141,104.9367671,124.7628937,202.1259942,202.4455135,150.0660819,175.8860635,232.9460881,167.0325824,0.029215596,0.040389613,0.012270231,0.030731628,0.020604992,0.022442559,0.00924663,0.006025038,0.842998257
49,116.9812019,116.3350801,352.6756148,324.5670867,115.6422196,198.2924833,165.1777929,195.0437479,178.1853736,206.0462599,0.0237531,0.013780743,0.025421259,0.007187367,0.01680305,0.009472608,0.008766044,0.0058117,0.842998257
