type,ONE,ONE,ONE,ONE,PGA,PGA,PGA,PGA,PGD,PGD,PGD,PGD,PGD,PGD,PGD,PGD,SA_1.0,SA_1.0,SA_1.0,SA_1.0
loc,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dir,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1
stat,beta,mean,median,std,beta,mean,median,std,beta,mean,median,std,beta,mean,median,std,beta,mean,median,std
0,0.0,1.0,1.0,0.0,0.5401618003169524,157.97339094699961,138.15865119291016,89.19226718521209,1.4886678930031978,32.79450802153948,24.055503935573427,23.306282699875712,1.0801753152466942,2.29299063294817,1.6572466859911306,1.5904902732349353,0.934917481974553,203.79563014131926,142.93856847119696,210.97405421167093
