ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Theta_0,DS2-Theta_0,DS3-Theta_0,DS4-Theta_0
C.ECB.H.bur.0.D.med.35-Cost,0,1 EA,loss_ratio,0.001,0.003,0.695,0.77
C.ECB.H.bur.0.D.med.70-Cost,0,1 EA,loss_ratio,0.001,0.003,0.725,0.813
C.ECB.H.bur.1.A.hig.100-Cost,0,1 EA,loss_ratio,0.003,0.005,0.47,0.873
C.ECB.H.bur.1.A.hig.15-Cost,0,1 EA,loss_ratio,0.001,0.025,0.47,0.838
C.ECB.H.bur.1.A.hig.3-Cost,0,1 EA,loss_ratio,0.001,0.018,0.405,0.798
C.ECB.H.bur.1.A.hig.35-Cost,0,1 EA,loss_ratio,0.001,0.019,0.489,0.796
C.ECB.H.bur.1.A.hig.70-Cost,0,1 EA,loss_ratio,0.004,0.01,0.514,0.81
C.ECB.H.bur.1.A.low.100-Cost,0,1 EA,loss_ratio,0.001,0.028,0.44,0.461
C.ECB.H.bur.1.A.low.15-Cost,0,1 EA,loss_ratio,0.001,0.043,0.045,0.666
C.ECB.H.bur.1.A.low.3-Cost,0,1 EA,loss_ratio,0.001,0.016,0.438,0.683
C.ECB.H.bur.1.A.low.35-Cost,0,1 EA,loss_ratio,0.001,0.042,0.044,0.571
C.ECB.H.bur.1.A.low.70-Cost,0,1 EA,loss_ratio,0.001,0.038,0.478,0.48
C.ECB.H.bur.1.A.med.100-Cost,0,1 EA,loss_ratio,0.001,0.021,0.554,0.99
C.ECB.H.bur.1.A.med.15-Cost,0,1 EA,loss_ratio,0.001,0.042,0.438,1.0
C.ECB.H.bur.1.A.med.3-Cost,0,1 EA,loss_ratio,0.001,0.021,0.423,0.932
C.ECB.H.bur.1.A.med.35-Cost,0,1 EA,loss_ratio,0.001,0.032,0.462,1.0
C.ECB.H.bur.1.A.med.70-Cost,0,1 EA,loss_ratio,0.001,0.024,0.502,1.0
C.ECB.H.bur.1.B.hig.100-Cost,0,1 EA,loss_ratio,0.006,0.008,0.447,0.969
C.ECB.H.bur.1.B.hig.15-Cost,0,1 EA,loss_ratio,0.001,0.024,0.447,0.816
C.ECB.H.bur.1.B.hig.3-Cost,0,1 EA,loss_ratio,0.001,0.022,0.404,0.793
C.ECB.H.bur.1.B.hig.35-Cost,0,1 EA,loss_ratio,0.001,0.019,0.463,0.885
C.ECB.H.bur.1.B.hig.70-Cost,0,1 EA,loss_ratio,0.001,0.015,0.459,0.802
C.ECB.H.bur.1.B.low.100-Cost,0,1 EA,loss_ratio,0.001,0.034,0.44,0.527
C.ECB.H.bur.1.B.low.15-Cost,0,1 EA,loss_ratio,0.001,0.038,0.04,0.672
C.ECB.H.bur.1.B.low.3-Cost,0,1 EA,loss_ratio,0.001,0.016,0.444,0.701
C.ECB.H.bur.1.B.low.35-Cost,0,1 EA,loss_ratio,0.001,0.041,0.043,0.613
C.ECB.H.bur.1.B.low.70-Cost,0,1 EA,loss_ratio,0.001,0.038,0.04,0.521
C.ECB.H.bur.1.B.med.100-Cost,0,1 EA,loss_ratio,0.001,0.025,0.511,1.0
