ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Family,DS1-Theta_0,DS1-Theta_1,DS1-AffectedArea,DS2-Family,DS2-Theta_0,DS2-Theta_1,DS2-AffectedArea,DS3-Family,DS3-Theta_0,DS3-Theta_1,DS3-AffectedArea,DS4-Family,DS4-Theta_0,DS4-Theta_1,DS4-AffectedArea,DS5-Family,DS5-Theta_0,DS5-Theta_1,DS5-AffectedArea,DS6-Family,DS6-Theta_0,DS6-Theta_1,DS6-AffectedArea,DS7-Family,DS7-Theta_0,DS7-Theta_1,DS7-AffectedArea,DS8-Family,DS8-Theta_0,DS8-Theta_1,DS8-AffectedArea,DS9-Family,DS9-Theta_0,DS9-Theta_1,DS9-AffectedArea,DS10-Family,DS10-Theta_0,DS10-Theta_1,DS10-AffectedArea,DS11-Family,DS11-Theta_0,DS11-Theta_1,DS11-AffectedArea,DS12-Family,DS12-Theta_0,DS12-Theta_1,DS12-AffectedArea,DS13-Family,DS13-Theta_0,DS13-Theta_1,DS13-AffectedArea,DS14-Family,DS14-Theta_0,DS14-Theta_1,DS14-AffectedArea,DS15-Family,DS15-Theta_0,DS15-Theta_1,DS15-AffectedArea
E.20.22.106a-S1,1,1 EA,persons,lognormal,,0.5,20 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.20.22.106b-S1,1,1 EA,persons,lognormal,,0.5,20 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.20.22.114a-S1,1,1 EA,persons,lognormal,,0.5,10 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.20.22.114b-S1,1,1 EA,persons,lognormal,,0.5,10 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.20.22.124a-S1,1,1 EA,persons,lognormal,,0.5,10 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.20.22.124b-S1,1,1 EA,persons,lognormal,,0.5,10 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.20.22.125a-S1,1,1 EA,persons,lognormal,,0.5,20 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.20.22.125b-S1,1,1 EA,persons,lognormal,,0.5,20 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.10.12.001-S1,1,50 LF,persons,lognormal,,,,lognormal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.10.12.001-S2,1,50 LF,persons,lognormal,,,,lognormal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
