ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Family,DS1-Theta_0,DS1-Theta_1,DS1-LongLeadTime,DS2-Family,DS2-Theta_0,DS2-Theta_1,DS2-LongLeadTime,DS3-Family,DS3-Theta_0,DS3-Theta_1,DS3-LongLeadTime,DS4-Family,DS4-Theta_0,DS4-Theta_1,DS4-LongLeadTime,DS5-Family,DS5-Theta_0,DS5-Theta_1,DS5-LongLeadTime,DS6-Family,DS6-Theta_0,DS6-Theta_1,DS6-LongLeadTime,DS7-Family,DS7-Theta_0,DS7-Theta_1,DS7-LongLeadTime,DS8-Family,DS8-Theta_0,DS8-Theta_1,DS8-LongLeadTime,DS9-Family,DS9-Theta_0,DS9-Theta_1,DS9-LongLeadTime,DS10-Family,DS10-Theta_0,DS10-Theta_1,DS10-LongLeadTime,DS11-Family,DS11-Theta_0,DS11-Theta_1,DS11-LongLeadTime,DS12-Family,DS12-Theta_0,DS12-Theta_1,DS12-LongLeadTime,DS13-Family,DS13-Theta_0,DS13-Theta_1,DS13-LongLeadTime,DS14-Family,DS14-Theta_0,DS14-Theta_1,DS14-LongLeadTime,DS15-Family,DS15-Theta_0,DS15-Theta_1,DS15-LongLeadTime
B1041.071b-Cost,0,1 EA,US$_2011,normal,"25704,17136|5,20",0.390923,,normal,"38978.4,25985.6|5,20",0.318343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.071b-Time,0,1 EA,worker_day,normal,"22.68,15.12|5,20",0.464027,0,normal,"34.3927,22.9285|5,20",0.404775,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.072a-Cost,0,1 EA,US$_2011,normal,"25704,17136|5,20",0.390923,,normal,"41378.4,27585.6|5,20",0.305535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.072a-Time,0,1 EA,worker_day,normal,"22.68,15.12|5,20",0.464027,0,normal,"36.5104,24.3402|5,20",0.394781,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.072b-Cost,0,1 EA,US$_2011,normal,"25704,17136|5,20",0.390923,,normal,"41378.4,27585.6|5,20",0.305535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.072b-Time,0,1 EA,worker_day,normal,"22.68,15.12|5,20",0.464027,0,normal,"36.5104,24.3402|5,20",0.394781,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.073a-Cost,0,1 EA,US$_2011,normal,"25704,17136|5,20",0.390923,,normal,"41378.4,27585.6|5,20",0.305535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.073a-Time,0,1 EA,worker_day,normal,"22.68,15.12|5,20",0.464027,0,normal,"36.5104,24.3402|5,20",0.394781,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.073b-Cost,0,1 EA,US$_2011,normal,"25704,17136|5,20",0.390923,,normal,"41378.4,27585.6|5,20",0.305535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.073b-Time,0,1 EA,worker_day,normal,"22.68,15.12|5,20",0.464027,0,normal,"36.5104,24.3402|5,20",0.394781,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.081a-Cost,0,1 EA,US$_2011,normal,"25704,17136|5,20",0.390923,,normal,"38978.4,25985.6|5,20",0.318343,,normal,"47978.4,31985.6|5,20",0.302434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.081a-Time,0,1 EA,worker_day,normal,"22.68,15.12|5,20",0.464027,0,normal,"34.3927,22.9285|5,20",0.404775,0,normal,"42.3338,28.2226|5,20",0.392385,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.081b-Cost,0,1 EA,US$_2011,normal,"25704,17136|5,20",0.390923,,normal,"38978.4,25985.6|5,20",0.318343,,normal,"47978.4,31985.6|5,20",0.302434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.081b-Time,0,1 EA,worker_day,normal,"22.68,15.12|5,20",0.464027,0,normal,"34.3927,22.9285|5,20",0.404775,0,normal,"42.3338,28.2226|5,20",0.392385,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.082a-Cost,0,1 EA,US$_2011,normal,"25704,17136|5,20",0.390923,,normal,"41378.4,27585.6|5,20",0.305535,,normal,"49178.4,32785.6|5,20",0.294804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.082a-Time,0,1 EA,worker_day,normal,"22.68,15.12|5,20",0.464027,0,normal,"36.5104,24.3402|5,20",0.394781,0,normal,"43.3927,28.9285|5,20",0.386535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.082b-Cost,0,1 EA,US$_2011,normal,"25704,17136|5,20",0.390923,,normal,"41378.4,27585.6|5,20",0.305535,,normal,"49178.4,32785.6|5,20",0.294804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.082b-Time,0,1 EA,worker_day,normal,"22.68,15.12|5,20",0.464027,0,normal,"36.5104,24.3402|5,20",0.394781,0,normal,"43.3927,28.9285|5,20",0.386535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.083a-Cost,0,1 EA,US$_2011,normal,"25704,17136|5,20",0.390923,,normal,"41378.4,27585.6|5,20",0.305535,,normal,"49178.4,32785.6|5,20",0.294804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.083a-Time,0,1 EA,worker_day,normal,"22.68,15.12|5,20",0.464027,0,normal,"36.5104,24.3402|5,20",0.394781,0,normal,"43.3927,28.9285|5,20",0.386535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.083b-Cost,0,1 EA,US$_2011,normal,"25704,17136|5,20",0.390923,,normal,"41378.4,27585.6|5,20",0.305535,,normal,"49178.4,32785.6|5,20",0.294804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.083b-Time,0,1 EA,worker_day,normal,"22.68,15.12|5,20",0.464027,0,normal,"36.5104,24.3402|5,20",0.394781,0,normal,"43.3927,28.9285|5,20",0.386535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.091a-Cost,0,1 EA,US$_2011,normal,"25704,17136|5,20",0.390923,,normal,"38978.4,25985.6|5,20",0.318343,,normal,"47978.4,31985.6|5,20",0.302434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.091a-Time,0,1 EA,worker_day,normal,"22.68,15.12|5,20",0.464027,0,normal,"34.3927,22.9285|5,20",0.404775,0,normal,"42.3338,28.2226|5,20",0.392385,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.091b-Cost,0,1 EA,US$_2011,normal,"25704,17136|5,20",0.390923,,normal,"38978.4,25985.6|5,20",0.318343,,normal,"47978.4,31985.6|5,20",0.302434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.091b-Time,0,1 EA,worker_day,normal,"22.68,15.12|5,20",0.464027,0,normal,"34.3927,22.9285|5,20",0.404775,0,normal,"42.3338,28.2226|5,20",0.392385,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.092a-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"43102.5,29309.7|5,20",0.305535,,normal,"51227.5,34834.7|5,20",0.294804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.092a-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"38.0316,25.8615|5,20",0.394781,0,normal,"45.2007,30.7365|5,20",0.386535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.092b-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"43102.5,29309.7|5,20",0.305535,,normal,"51227.5,34834.7|5,20",0.294804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.092b-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"38.0316,25.8615|5,20",0.394781,0,normal,"45.2007,30.7365|5,20",0.386535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.093a-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"43102.5,29309.7|5,20",0.305535,,normal,"51227.5,34834.7|5,20",0.294804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.093a-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"38.0316,25.8615|5,20",0.394781,0,normal,"45.2007,30.7365|5,20",0.386535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.093b-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"43102.5,29309.7|5,20",0.305535,,normal,"51227.5,34834.7|5,20",0.294804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.093b-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"38.0316,25.8615|5,20",0.394781,0,normal,"45.2007,30.7365|5,20",0.386535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.101a-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"40602.5,27609.7|5,20",0.318343,,normal,"49977.5,33984.7|5,20",0.302434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.101a-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"35.8257,24.3615|5,20",0.404775,0,normal,"44.0978,29.9865|5,20",0.392385,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.101b-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"40602.5,27609.7|5,20",0.318343,,normal,"49977.5,33984.7|5,20",0.302434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.101b-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"35.8257,24.3615|5,20",0.404775,0,normal,"44.0978,29.9865|5,20",0.392385,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.102a-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"43102.5,29309.7|5,20",0.305535,,normal,"51227.5,34834.7|5,20",0.294804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.102a-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"38.0316,25.8615|5,20",0.394781,0,normal,"45.2007,30.7365|5,20",0.386535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.102b-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"43102.5,29309.7|5,20",0.305535,,normal,"51227.5,34834.7|5,20",0.294804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.102b-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"38.0316,25.8615|5,20",0.394781,0,normal,"45.2007,30.7365|5,20",0.386535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.103a-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"43102.5,29309.7|5,20",0.305535,,normal,"51227.5,34834.7|5,20",0.294804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.103a-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"38.0316,25.8615|5,20",0.394781,0,normal,"45.2007,30.7365|5,20",0.386535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.103b-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"43102.5,29309.7|5,20",0.305535,,normal,"51227.5,34834.7|5,20",0.294804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.103b-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"38.0316,25.8615|5,20",0.394781,0,normal,"45.2007,30.7365|5,20",0.386535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.111a-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"40602.5,27609.7|5,20",0.318343,,normal,"49977.5,33984.7|5,20",0.302434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.111a-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"35.8257,24.3615|5,20",0.404775,0,normal,"44.0978,29.9865|5,20",0.392385,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.111b-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"40602.5,27609.7|5,20",0.318343,,normal,"49977.5,33984.7|5,20",0.302434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.111b-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"35.8257,24.3615|5,20",0.404775,0,normal,"44.0978,29.9865|5,20",0.392385,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.112a-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"43102.5,29309.7|5,20",0.305535,,normal,"51227.5,34834.7|5,20",0.294804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.112a-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"38.0316,25.8615|5,20",0.394781,0,normal,"45.2007,30.7365|5,20",0.386535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.112b-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"43102.5,29309.7|5,20",0.305535,,normal,"51227.5,34834.7|5,20",0.294804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.112b-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"38.0316,25.8615|5,20",0.394781,0,normal,"45.2007,30.7365|5,20",0.386535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.113a-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"43102.5,29309.7|5,20",0.305535,,normal,"51227.5,34834.7|5,20",0.294804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.113a-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"38.0316,25.8615|5,20",0.394781,0,normal,"45.2007,30.7365|5,20",0.386535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.113b-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"43102.5,29309.7|5,20",0.305535,,normal,"51227.5,34834.7|5,20",0.294804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.113b-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"38.0316,25.8615|5,20",0.394781,0,normal,"45.2007,30.7365|5,20",0.386535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.121a-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"50602.5,34409.7|5,20",0.286164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.121a-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"44.6493,30.3615|5,20",0.379987,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.121b-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"50602.5,34409.7|5,20",0.286164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.121b-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"44.6493,30.3615|5,20",0.379987,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.122a-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"51852.5,35259.7|5,20",0.279094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.122a-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"45.7522,31.1115|5,20",0.374691,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.122b-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"51852.5,35259.7|5,20",0.279094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.122b-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"45.7522,31.1115|5,20",0.374691,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.123a-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"51852.5,35259.7|5,20",0.279094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.123a-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"45.7522,31.1115|5,20",0.374691,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.123b-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"51852.5,35259.7|5,20",0.279094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.123b-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"45.7522,31.1115|5,20",0.374691,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.131a-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"50602.5,34409.7|5,20",0.286164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.131a-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"44.6493,30.3615|5,20",0.379987,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.131b-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"50602.5,34409.7|5,20",0.286164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.131b-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"44.6493,30.3615|5,20",0.379987,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.132a-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"51852.5,35259.7|5,20",0.279094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.132a-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"45.7522,31.1115|5,20",0.374691,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.132b-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"51852.5,35259.7|5,20",0.279094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.132b-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"45.7522,31.1115|5,20",0.374691,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.133a-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"51852.5,35259.7|5,20",0.279094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.133a-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"45.7522,31.1115|5,20",0.374691,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.133b-Cost,0,1 EA,US$_2011,normal,"26775,18207|5,20",0.390923,,normal,"51852.5,35259.7|5,20",0.279094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1041.133b-Time,0,1 EA,worker_day,normal,"23.625,16.065|5,20",0.464027,0,normal,"45.7522,31.1115|5,20",0.374691,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1042.001a-Cost,0,1 EA,US$_2011,lognormal,"15487.2,10324.8|5,20",0.438432,,normal,"34128,22752|5,20",0.364601,,normal,"53268,35512|5,20",0.346348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1042.001a-Time,0,1 EA,worker_day,lognormal,"13.2097,8.80649|5,20",0.5047,0,normal,"29.1091,19.4061|5,20",0.442079,0,normal,"45.4345,30.2897|5,20",0.42715,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1042.001b-Cost,0,1 EA,US$_2011,lognormal,"12693.6,8462.4|5,20",0.515773,,normal,"33408,22272|5,20",0.367304,,normal,"49884,33256|5,20",0.377442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1042.001b-Time,0,1 EA,worker_day,lognormal,"10.8269,7.21792|5,20",0.573168,0,normal,"28.4951,18.9967|5,20",0.444311,0,normal,"42.5482,28.3654|5,20",0.452727,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1042.002a-Cost,0,1 EA,US$_2011,lognormal,"15487.2,10324.8|5,20",0.438432,,normal,"34128,22752|5,20",0.364601,,normal,"53268,35512|5,20",0.346348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1042.002a-Time,0,1 EA,worker_day,lognormal,"13.2097,8.80649|5,20",0.5047,0,normal,"29.1091,19.4061|5,20",0.442079,0,normal,"45.4345,30.2897|5,20",0.42715,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1042.002b-Cost,0,1 EA,US$_2011,lognormal,"12693.6,8462.4|5,20",0.515773,,normal,"33408,22272|5,20",0.367304,,normal,"49884,33256|5,20",0.377442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1042.002b-Time,0,1 EA,worker_day,lognormal,"10.8269,7.21792|5,20",0.573168,0,normal,"28.4951,18.9967|5,20",0.444311,0,normal,"42.5482,28.3654|5,20",0.452727,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1042.011a-Cost,0,1 EA,US$_2011,lognormal,"15487.2,10324.8|5,20",0.438432,,normal,"35328,23552|5,20",0.351663,,normal,"54468,36312|5,20",0.338326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1042.011a-Time,0,1 EA,worker_day,lognormal,"13.2097,8.80649|5,20",0.5047,0,normal,"30.1327,20.0885|5,20",0.431471,0,normal,"46.458,30.972|5,20",0.420671,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1042.011b-Cost,0,1 EA,US$_2011,lognormal,"12693.6,8462.4|5,20",0.515773,,normal,"34608,23072|5,20",0.354176,,normal,"51084,34056|5,20",0.368283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1042.011b-Time,0,1 EA,worker_day,lognormal,"10.8269,7.21792|5,20",0.573168,0,normal,"29.5186,19.679|5,20",0.433521,0,normal,"43.5716,29.0478|5,20",0.445121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1042.012a-Cost,0,1 EA,US$_2011,lognormal,"15487.2,10324.8|5,20",0.438432,,normal,"35328,23552|5,20",0.351663,,normal,"54468,36312|5,20",0.338326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1042.012a-Time,0,1 EA,worker_day,lognormal,"13.2097,8.80649|5,20",0.5047,0,normal,"30.1327,20.0885|5,20",0.431471,0,normal,"46.458,30.972|5,20",0.420671,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1042.012b-Cost,0,1 EA,US$_2011,lognormal,"12693.6,8462.4|5,20",0.515773,,normal,"34608,23072|5,20",0.354176,,normal,"51084,34056|5,20",0.368283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1042.012b-Time,0,1 EA,worker_day,lognormal,"10.8269,7.21792|5,20",0.573168,0,normal,"29.5186,19.679|5,20",0.433521,0,normal,"43.5716,29.0478|5,20",0.445121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1042.021a-Cost,0,1 EA,US$_2011,lognormal,"15487.2,10324.8|5,20",0.438432,,normal,"35328,23552|5,20",0.351663,,normal,"55668,37112|5,20",0.335724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
