ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Family,DS1-Theta_0,DS1-Theta_1,DS1-LongLeadTime,DS2-Family,DS2-Theta_0,DS2-Theta_1,DS2-LongLeadTime,DS3-Family,DS3-Theta_0,DS3-Theta_1,DS3-LongLeadTime,DS4-Family,DS4-Theta_0,DS4-Theta_1,DS4-LongLeadTime,DS5-Family,DS5-Theta_0,DS5-Theta_1,DS5-LongLeadTime,DS6-Family,DS6-Theta_0,DS6-Theta_1,DS6-LongLeadTime,DS7-Family,DS7-Theta_0,DS7-Theta_1,DS7-LongLeadTime,DS8-Family,DS8-Theta_0,DS8-Theta_1,DS8-LongLeadTime,DS9-Family,DS9-Theta_0,DS9-Theta_1,DS9-LongLeadTime,DS10-Family,DS10-Theta_0,DS10-Theta_1,DS10-LongLeadTime,DS11-Family,DS11-Theta_0,DS11-Theta_1,DS11-LongLeadTime,DS12-Family,DS12-Theta_0,DS12-Theta_1,DS12-LongLeadTime,DS13-Family,DS13-Theta_0,DS13-Theta_1,DS13-LongLeadTime,DS14-Family,DS14-Theta_0,DS14-Theta_1,DS14-LongLeadTime,DS15-Family,DS15-Theta_0,DS15-Theta_1,DS15-LongLeadTime
B1033.041c-Cost,0,1 EA,US$_2011,normal,"43294.2,28862.8|5,15",0.327833,,normal,"76573.9,51049.2|5,15",0.275487,,normal,"82573.9,55049.2|5,15",0.270934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.041c-Time,0,1 EA,worker_day,normal,"28.6506,19.1004|5,15",0.412279,0,normal,"50.6738,33.7826|5,15",0.372012,0,normal,"54.6445,36.4297|5,15",0.368653,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.042a-Cost,0,1 EA,US$_2011,normal,"42384.9,28256.6|5,15",0.330314,,normal,"47474.2,31649.5|5,15",0.316056,,normal,"48494.2,32329.5|5,15",0.31477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.042a-Time,0,1 EA,worker_day,normal,"28.0488,18.6992|5,15",0.414255,0,normal,"31.4168,20.9446|5,15",0.402978,0,normal,"32.0918,21.3946|5,15",0.401971,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.042b-Cost,0,1 EA,US$_2011,normal,"42384.9,28256.6|5,15",0.330314,,normal,"54881.2,36587.5|5,15",0.301339,,normal,"59081.2,39387.5|5,15",0.294478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.042b-Time,0,1 EA,worker_day,normal,"28.0488,18.6992|5,15",0.414255,0,normal,"36.3185,24.2123|5,15",0.391542,0,normal,"39.0979,26.0653|5,15",0.386287,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.042c-Cost,0,1 EA,US$_2011,normal,"44151,30022.7|3,7",0.330314,,normal,"67171.9,45676.9|3,7",0.286573,,normal,"74046.9,50351.9|3,7",0.279417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.042c-Time,0,1 EA,worker_day,normal,"29.2175,19.8679|3,7",0.414255,0,normal,"44.452,30.2274|3,7",0.380295,0,normal,"49.0016,33.3211|3,7",0.374932,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.043a-Cost,0,1 EA,US$_2011,normal,"46152,31383.3|3,7",0.324498,,normal,"55879.7,37998.2|3,7",0.304847,,normal,"57754.7,39273.2|3,7",0.301539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.043a-Time,0,1 EA,worker_day,normal,"30.5417,20.7684|3,7",0.409633,0,normal,"36.9792,25.1459|3,7",0.394249,0,normal,"38.22,25.9896|3,7",0.391696,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.043b-Cost,0,1 EA,US$_2011,normal,"46152,31383.3|3,7",0.324498,,normal,"73998.4,50318.9|3,7",0.280378,,normal,"78373.4,53293.9|3,7",0.276489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.043b-Time,0,1 EA,worker_day,normal,"30.5417,20.7684|3,7",0.409633,0,normal,"48.9695,33.2993|3,7",0.375648,0,normal,"51.8648,35.268|3,7",0.372755,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.043c-Cost,0,1 EA,US$_2011,normal,"46152,31383.3|3,7",0.324498,,normal,"95006.2,64604.2|3,7",0.264938,,normal,"101881,69279.2|3,7",0.261557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.043c-Time,0,1 EA,worker_day,normal,"30.5417,20.7684|3,7",0.409633,0,normal,"62.8718,42.7528|3,7",0.36427,0,normal,"67.4214,45.8465|3,7",0.361818,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.051a-Cost,0,1 EA,US$_2011,normal,"44535.6,30284.2|3,7",0.330517,,normal,"50028.6,34019.4|3,7",0.315296,,normal,"52153.6,35464.4|3,7",0.310146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.051a-Time,0,1 EA,worker_day,normal,"29.4721,20.041|3,7",0.414417,0,normal,"33.1071,22.5128|3,7",0.402382,0,normal,"34.5134,23.4691|3,7",0.39836,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.051b-Cost,0,1 EA,US$_2011,normal,"44535.6,30284.2|3,7",0.330517,,normal,"61158.3,41587.6|3,7",0.295176,,normal,"65533.3,44562.6|3,7",0.28927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.051b-Time,0,1 EA,worker_day,normal,"29.4721,20.041|3,7",0.414417,0,normal,"40.4724,27.5212|3,7",0.386819,0,normal,"43.3676,29.49|3,7",0.382331,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.051c-Cost,0,1 EA,US$_2011,normal,"44535.6,30284.2|3,7",0.330517,,normal,"75101.7,51069.2|3,7",0.279208,,normal,"81351.7,55319.2|3,7",0.274016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.051c-Time,0,1 EA,worker_day,normal,"29.4721,20.041|3,7",0.414417,0,normal,"49.6996,33.7957|3,7",0.374776,0,normal,"53.8356,36.6082|3,7",0.370924,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.052a-Cost,0,1 EA,US$_2011,normal,"43588.5,29640.2|3,7",0.333112,,normal,"48289.6,32836.9|3,7",0.319799,,normal,"49539.6,33686.9|3,7",0.316673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1033.052a-Time,0,1 EA,worker_day,normal,"28.8454,19.6149|3,7",0.41649,0,normal,"31.9564,21.7303|3,7",0.405921,0,normal,"32.7835,22.2928|3,7",0.403462,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
