ID-DV,Incomplete,Quantity-Unit,DV-Unit,DS1-Theta_0,DS2-Theta_0,DS3-Theta_0,DS4-Theta_0
C.ECB.H.bur.low.0.B.70-Cost,0,1 EA,loss_ratio,0.03478388937280153,0.0,0.6615341091689609,1.0
C.ECB.H.bur.low.0.C.100-Cost,0,1 EA,loss_ratio,0.010847316095789166,0.00941866543543868,0.6791923429570945,1.0
C.ECB.H.bur.low.0.C.15-Cost,0,1 EA,loss_ratio,0.0426598702015483,0.0,0.7234956132888899,1.0
C.ECB.H.bur.low.0.C.3-Cost,0,1 EA,loss_ratio,0.0,0.02322700765552759,0.7159302547766255,1.0
C.ECB.H.bur.low.0.C.35-Cost,0,1 EA,loss_ratio,0.0400139879635528,0.0,0.7099887657410313,1.0
C.ECB.H.bur.low.0.C.70-Cost,0,1 EA,loss_ratio,0.027285311360111374,0.003993318674842753,0.7031184650945936,1.0
C.ECB.H.bur.low.0.D.100-Cost,0,1 EA,loss_ratio,0.0,0.012292470951651964,0.7112274373271005,1.0
C.ECB.H.bur.low.0.D.15-Cost,0,1 EA,loss_ratio,0.0,0.01701638775579446,0.7232647552505209,1.0
C.ECB.H.bur.low.0.D.3-Cost,0,1 EA,loss_ratio,0.0,0.019945196296942008,0.7176822114388186,1.0
C.ECB.H.bur.low.0.D.35-Cost,0,1 EA,loss_ratio,0.0,0.014737134020023263,0.71709495314871,1.0
C.ECB.H.bur.low.0.D.70-Cost,0,1 EA,loss_ratio,0.0,0.015387403757002245,0.7046748606983332,1.0
C.ECB.H.bur.low.1.A.100-Cost,0,1 EA,loss_ratio,0.0,0.028287382539274687,0.6170946733507647,1.0
C.ECB.H.bur.low.1.A.15-Cost,0,1 EA,loss_ratio,0.0,0.05024596073035225,0.5250925037300009,1.0
C.ECB.H.bur.low.1.A.3-Cost,0,1 EA,loss_ratio,0.0,0.018233337919819317,0.5843549933123587,1.0
C.ECB.H.bur.low.1.A.35-Cost,0,1 EA,loss_ratio,0.0,0.04198443974204997,0.48828171958450095,1.0
C.ECB.H.bur.low.1.A.70-Cost,0,1 EA,loss_ratio,0.0,0.037877068949356475,0.5581091289203703,1.0
C.ECB.H.bur.low.1.B.100-Cost,0,1 EA,loss_ratio,0.0,0.03247758778922795,0.6112913609171812,1.0
C.ECB.H.bur.low.1.B.15-Cost,0,1 EA,loss_ratio,0.0,0.052442145298180566,0.5218740364006003,1.0
C.ECB.H.bur.low.1.B.3-Cost,0,1 EA,loss_ratio,0.0,0.024381476631022733,0.5479149371374819,1.0
C.ECB.H.bur.low.1.B.35-Cost,0,1 EA,loss_ratio,0.0,0.045331977730792485,0.5044025875147098,1.0
C.ECB.H.bur.low.1.B.70-Cost,0,1 EA,loss_ratio,0.0,0.037907750162857246,0.5100673258529483,1.0
C.ECB.H.bur.low.1.C.100-Cost,0,1 EA,loss_ratio,0.0,0.039904528693224944,0.5655547611687711,1.0
C.ECB.H.bur.low.1.C.15-Cost,0,1 EA,loss_ratio,0.0,0.06345491772653629,0.520595255503427,1.0
C.ECB.H.bur.low.1.C.3-Cost,0,1 EA,loss_ratio,0.0,0.024283195627405666,0.5573180196789004,1.0
C.ECB.H.bur.low.1.C.35-Cost,0,1 EA,loss_ratio,0.0,0.053765573630440044,0.4923276887697028,1.0
C.ECB.H.bur.low.1.C.70-Cost,0,1 EA,loss_ratio,0.0,0.048356433056266336,0.5230319784914492,1.0
C.ECB.H.bur.low.1.D.100-Cost,0,1 EA,loss_ratio,0.00974832193764894,0.007901449702274708,0.5263206840163104,1.0
C.ECB.H.bur.low.1.D.15-Cost,0,1 EA,loss_ratio,0.013049263316778621,0.006788246728218464,0.5653826595391629,1.0
C.ECB.H.bur.low.1.D.3-Cost,0,1 EA,loss_ratio,0.021186081071398043,0.003839826367467822,0.5805248458269102,1.0
C.ECB.H.bur.low.1.D.35-Cost,0,1 EA,loss_ratio,0.009089879713816407,0.008118781838787321,0.55000254460332,1.0
