#,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
45,1.0,365.0,365.0,0.0,0.0
46,0.98,200.0,200.0,0.0,0.0
47,1.0,365.0,365.0,0.0,0.0
48,2.0,730.0,730.0,0.0,0.0
49,1.0,365.0,365.0,0.0,0.0
50,1.0,365.0,365.0,0.0,0.0
51,1.0,365.0,365.0,0.0,0.0
52,1.3,367.0,367.0,0.0,0.0
53,1.0,365.0,365.0,0.0,0.0
54,1.3,367.0,367.0,0.0,0.0
55,1.0,365.0,365.0,0.0,0.0
56,1.3,367.0,367.0,0.0,0.0
57,1.0,365.0,365.0,0.0,0.0
58,1.0,365.0,365.0,0.0,0.0
59,1.98,565.0,565.0,0.0,0.0
60,1.98,565.0,565.0,0.0,0.0
61,1.0,365.0,365.0,0.0,0.0
62,1.0,365.0,365.0,0.0,0.0
63,1.0,365.0,365.0,0.0,0.0
64,1.0,365.0,365.0,0.0,0.0
65,1.0,365.0,365.0,0.0,0.0
66,1.0,365.0,365.0,0.0,0.0
67,1.7,375.0,375.0,0.0,0.0
68,1.0,365.0,365.0,0.0,0.0
69,1.0,365.0,365.0,0.0,0.0
70,1.0,365.0,365.0,0.0,0.0
71,1.0,365.0,365.0,0.0,0.0
72,1.98,565.0,565.0,0.0,0.0
73,1.0,365.0,365.0,0.0,0.0
74,1.0,365.0,365.0,0.0,0.0
75,1.98,565.0,565.0,0.0,0.0
76,1.7,375.0,375.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0
78,1.0,365.0,365.0,0.0,0.0
79,1.7,375.0,375.0,0.0,0.0
80,1.0,365.0,365.0,0.0,0.0
81,1.3,367.0,367.0,0.0,0.0
82,1.0,365.0,365.0,0.0,0.0
83,1.98,565.0,565.0,0.0,0.0
84,1.0,365.0,365.0,0.0,0.0
85,1.0,365.0,365.0,0.0,0.0
86,2.0,730.0,730.0,0.0,0.0
87,1.0,365.0,365.0,0.0,0.0
88,1.0,365.0,365.0,0.0,0.0
89,1.0,365.0,365.0,0.0,0.0
90,2.0,730.0,730.0,0.0,0.0
91,1.0,365.0,365.0,0.0,0.0
92,1.98,565.0,565.0,0.0,0.0
93,1.0,365.0,365.0,0.0,0.0
94,1.0,365.0,365.0,0.0,0.0
95,1.0,365.0,365.0,0.0,0.0
96,1.3,367.0,367.0,0.0,0.0
97,1.3,367.0,367.0,0.0,0.0
98,0.98,200.0,200.0,0.0,0.0
99,1.3,367.0,367.0,0.0,0.0
100,1.0,365.0,365.0,0.0,0.0
101,1.0,365.0,365.0,0.0,0.0
102,1.0,365.0,365.0,0.0,0.0
103,1.0,365.0,365.0,0.0,0.0
104,1.3,367.0,367.0,0.0,0.0
105,1.0,365.0,365.0,0.0,0.0
106,1.0,365.0,365.0,0.0,0.0
107,1.7,375.0,375.0,0.0,0.0
108,1.0,365.0,365.0,0.0,0.0
109,2.0,730.0,730.0,0.0,0.0
110,1.3,367.0,367.0,0.0,0.0
111,1.0,365.0,365.0,0.0,0.0
112,1.0,365.0,365.0,0.0,0.0
113,1.98,565.0,565.0,0.0,0.0
114,1.0,365.0,365.0,0.0,0.0
115,1.7,375.0,375.0,0.0,0.0
116,1.0,365.0,365.0,0.0,0.0
117,1.0,365.0,365.0,0.0,0.0
118,1.0,365.0,365.0,0.0,0.0
119,1.0,365.0,365.0,0.0,0.0
120,1.0,365.0,365.0,0.0,0.0
121,1.0,365.0,365.0,0.0,0.0
122,1.7,375.0,375.0,0.0,0.0
123,1.0,365.0,365.0,0.0,0.0
124,1.0,365.0,365.0,0.0,0.0
125,1.7,375.0,375.0,0.0,0.0
126,1.0,365.0,365.0,0.0,0.0
127,2.0,730.0,730.0,0.0,0.0
128,1.0,365.0,365.0,0.0,0.0
129,1.0,365.0,365.0,0.0,0.0
130,1.7,375.0,375.0,0.0,0.0
131,1.0,365.0,365.0,0.0,0.0
132,1.98,565.0,565.0,0.0,0.0
133,1.3,367.0,367.0,0.0,0.0
134,1.0,365.0,365.0,0.0,0.0
135,1.0,365.0,365.0,0.0,0.0
136,1.0,365.0,365.0,0.0,0.0
137,1.0,365.0,365.0,0.0,0.0
138,2.0,730.0,730.0,0.0,0.0
139,1.3,367.0,367.0,0.0,0.0
140,1.3,367.0,367.0,0.0,0.0
141,1.0,365.0,365.0,0.0,0.0
142,1.0,365.0,365.0,0.0,0.0
143,1.0,365.0,365.0,0.0,0.0
