type,ONE,ONE,ONE,ONE,PGA,PGA,PGA,PGA,PGD,PGD,PGD,PGD,PGD,PGD,PGD,PGD,SA_1.0,SA_1.0,SA_1.0,SA_1.0
loc,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dir,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1
stat,beta,mean,median,std,beta,mean,median,std,beta,mean,median,std,beta,mean,median,std,beta,mean,median,std
0,0.0,1.0,1.0,0.0,0.4903517405579374,155.0760821802993,137.6758315064718,84.65893724465049,0.6427234593247514,72.37520417917642,77.88579000044678,26.9594020993356,0.5345092459692901,5.3789707429887565,5.620010249819002,1.7742037848710153,0.6076687154522815,241.05112391973827,213.4722419947974,137.25965447117412
